identificador;enunciated;link_do_video;comment;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;correct
SESPEPE2018R12Q11;;https://vimeo.com/433996349;" 
 Questão abordando o rastreio de câncer colorretal, neste caso em relação a uma paciente de 30 anos, com parente de 1ºgrau apresentando o câncer aos 72 anos. Para a população geral o rastreio está indicado a partir dos 50 anos de idade, podendo fazer a pesquisa de sangue oculto nas fezes anual, retosigmoidoscopia a cada 5 anos ou colonoscopia a cada 10 anos, sendo a colonoscopia a melhor opção. Quando existe um caso em parente de primeiro grau, o rastreio deve começar aos 40 anos, ou 10 anos antes do parente apresentar a neoplasia, o que for mais cedo. No entanto, isso só é feito quando o familiar apresentou a neoplasia colorretal com menos de 60 anos. Como o câncer colorretal no pai da paciente foi aos 72 anos, isso não confere risco adicional a ela, e por isso, para ela a indicação é a mesma da população geral, começar a partir dos 50 anos e caso normal, repetir a cada 10 anos, resposta letra B. A e D – INCORRETAS, ela não precisa de colonoscopia agora; C – INCORRETA, a repetição da colonoscopia é a cada 10 anos; E – INCORRETA, a conduta ao encontrar um adenoma vai depender do tipo de adenoma.";A) Solicitar colonoscopia e, caso normal, repetir a cada 10 anos.;B) Programar colonoscopia para os 50 anos e, caso normal, repetir a cada 10 anos.;C) Programar colonoscopia para os 50 anos e, caso normal, repetir a cada cinco anos.;D) Solicitar colonoscopia e, caso encontre algum adenoma, repetir anualmente.;E) Programar colonoscopia para os 50 anos e, caso encontre algum adenoma, repetir a cada três anos.;
SESPEPE2018R12Q12;;https://vimeo.com/433996425;" 
 Estamos diante de uma paciente lúpica apresentando anasarca, com PA normal, proteinúria de 24h acima de 10g, Cr normal, sem hematúria e sem consumo de complemento. Portanto, vemos que tem uma síndrome nefrótica isolada, visto que uma síndrome nefrítica é afastada pelo fato da PA normal e ausência de hematúria. No lúpus o acometimento renal pode acontecer em até 70% dos casos, sendo o principal local de acometimento os glomérulos. A apresentação como síndrome nefrótica franca isolada ocorre em 20-25% dos casos e tem como achado histológico a glomerulonefrite membranosa, que corresponde ao tipo V. A forma mais comum, e mais grave, é a membranoproliferativa, tipo IV. Como a paciente em questão tem apenas a síndrome nefrótica isolada, se enquadra na glomerulonefrite membranosa, resposta letra B.";A) Glomerulonefrite membranoproliferativa.;B) Glomerulonefrite membranosa.;C) Glomerulonefrite mesangial.;D) Glomeruloesclerose focal e segmentar.;E) Glomerulonefrite mesangioproliferativa.;
SESPEPE2018R12Q13;;https://vimeo.com/433996553;" 
 Os dois principais marcadores de função hepática são a albumina e o tempo de protrombina/INR, pois são marcadores de síntese hepática. Como a albumina tem uma meia-vida longa, 21 dias, ela não é um bom marcador de disfunção aguda, tem melhor indicação como marcador de disfunção crônica. O tempo de protrombina/INR, avalia a via extrínseca da coagulação, especialmente o fator VII que tem a meia-vida mais curta, de algumas horas, e por isso é um melhor marcador de disfunção hepática aguda, resposta letra E. Lembrar que as transaminases não refletem função hepática, elas refletem DANO hepático.";A) Transaminases.;B) Bilirrubinas.;C) Albumina.;D) Creatinina.;E) Tempo de protrombina.;
SESPEPE2018R12Q14;;https://vimeo.com/433996594;" 
 Temos aqui uma paciente com quadro clínico compatível com DPOC do fenótipo enfisematoso, no entanto, é uma paciente jovem e sem história de tabagismo, portanto, uma paciente sem os principais fatores de risco para a doença. Nesses casos temos que pensar em um diagnóstico diferencial, principalmente se enfisema for panacinar predominando em bases, podendo apresentar dano hepático, temos que pensar na deficiência da alfa 1 antitripsina, um inibidor da elastase. Como a elastase é uma enzima proteolítica que degrada a elastina pulmonar, caso o seu inibidor esteja deficiente, ela começa a degradar a elastina do parênquima pulmonar causando enfisema. Para fazer seu diagnóstico vamos dosar a quantidade dessa proteína, portanto, resposta letra C.";A) Iontoforese do suor.;B) Biópsia pulmonar.;C) Dosagem de alfa 1 antitripsina.;D) Tomografia de seios da face.;E) Exame toxicológico.;
SESPEPE2018R12Q15;;https://vimeo.com/433996614;" 
 Estamos diante de uma jovem com queixa de amenorreia e lactorreia, apresentando nível sérico de prolactina de 320 ng/mL, lembrando que os níveis normais são até 15ng, portanto, estamos diante de um caso de hiperprolactinemia. Diversas são as causas fisiológicas que causam o aumento da prolactina, como: lactação, estresse físico, coito, estimulação torácica, colocação de piercings. Porém, quando a causa é fisiológica a prolactina costuma ser menor do que 50ng, como está 320 temos que pensar em causa patológica. Dentre as causas patológicas, a mais comum é pelo uso de fármacos que aumentam a prolactina, como por exemplo a paroxetina e ranitidina, no entanto, quando a prolactina estiver &gt; 100, principalmente quanto &gt; 150-200 temos que pensar em uma outra etiologia, que é o prolactinoma. O prolactinoma é um adenoma, tumor de hipófise, produtor de prolactina, que pode levar a sintomas decorrentes do aumento da produção do hormônio como amenorreia e galactorreia, ou decorrentes do aumento de tamanho tumoral, causando sintomas de efeito de massa e/ou compressão, como a cefaleia e a hemianopsia bitemporal, este devido à compressão do nervo óptico. Como a prolactina da paciente está MUITO alta, temos que pensar na possibilidade do prolactinoma, e para sua investigação o melhor exame é a ressonância de sela túrsica, resposta letra C.";A) Recomendar a retirada dos piercings.;B) Solicitar dosagem de TSH.;C) Solicitar ressonância de sela túrsica.;D) Suspender a ranitidina.;E) Suspender a paroxetina.;
SESPEPE2018R12Q2;;https://vimeo.com/434061720; Estamos diante de um paciente com icterícia e prurido, que ao exame físico apresenta massa arredondada, indolor, palpável no rebordo costal direito. Quando estamos diante de um quadro de icterícia temos que separar entre causas hepatocelulares ou colestáticas, algumas manifestações nos ajudam a pensar na causa colestática como a causadora do quadro, como a presença de prurido, colúria e acolia fecal. Além do paciente apresentar o prurido, a massa palpável muito provavelmente é a vesícula biliar cheia de bile, corroborando com nosso pensamento. Portanto, nas alternativas temos que achar um perfil laboratorial que combine com uma causa colestática, nesses casos ocorre um predomínio de da bilirrubina direta como causadora de hiperbilirrubinemia, as transaminases podem estar normais ou pouco elevadas e as enzimas canaliculares vão estar aumentadas. A alternativa em que temos isso é a letra E, uma BD de 6,5 mostrando o seu predomínio, TGO e TGP levemente aumentados (88 e 110) e as enzimas canaliculares bem aumentadas.;A) 8,0 2,0 38 40 120 30.;B) 8,0 6,5 480 550 140 70.;C) 8,0 4,0 119 200 350 20.;D) 8,0 4,0 60 35 120 400.;E) 8,0 6,5 88 110 300 550.;
SESPEPE2018R12Q3;;https://vimeo.com/434061797;" Temos aqui um paciente com ascite de difícil controle, em uso de espironolactona 300mg/dia, furosemida 120mg/dia, losartana 100mg/dia e insulina. Ainda não podemos dizer que se trata de uma ascite refratária aos diuréticos, pois para isso precisamos garantir que o paciente está em restrição dietética de sódio, precisamos garantir que os diuréticos estão em dose máximo (400mg pra espironolactona e 160mg para furosemida), então ainda não vamos usar as terapias indicadas para ascite refratárias que são TIPS e transplante hepático, B e D – INCORRETAS. A – INCORRETA, até podemos usar HCTZ para aumentar o efeito diurético da furosemida, mas apenas quando essa estiver em dose máxima, que não é o caso; C – CORRETA, pacientes com ascite de difícil controle temos que suspender as drogas que diminuem a pressão arterial, principalmente os betabloqueadores, os IECA e os BRA, pois eles podem ser a causa da refratariedade aos diuréticos em alguns pacientes; E – INCORRETA, em pacientes cirróticos não vamos usar metformina pelo risco, apesar de baixo, de acidose láctica.";A) Associação de hidroclorotiazida.;B) Implante de shunt portossistêmico transjugular (TIPS).;C) Suspensão do losartan.;D) Encaminhamento para transplante hepático.;E) Substituição da insulina por metformina.;
SESPEPE2018R12Q4;;https://vimeo.com/434061857;" A partir de 2020 o Ministério da Saúde passou a recomendar a vacina de febre amarela para todo o território nacional, da seguinte forma: menores de 5 anos são 2 doses uma aos 9 meses e uma aos 4 anos de idade; para maiores de 5 anos é dose única. Como a vacina é constituída de vírus vivos atenuados é preciso cuidado na sua indicação, vamos avaliar as alternativas para saber a contraindicação formal (absoluta): A e B – INCORRETAS, na gestação e lactação a contraindicação é relativa, vamos avaliar o risco x benefício; C – INCORRETA, aqui temos uma contraindicação absoluta, transplante de órgãos sólidos ou de medula óssea são condições em que o paciente está em imunossupressão maior e, portanto, não devem fazer uso da vacina; D – INCORRETA, vacinação de idosos é contraindicação relativa, não está indicada de rotina, vamos avaliar caso a caso; E – INCORRETA, para o paciente com HIV possuir contraindicação para vacina da febre amarela, ele precisa ter contagem de CD4 &lt; 200.";A) Gestação no curso do primeiro trimestre.;B) Lactação.;C) Transplantados de rim.;D) Idosos acima de 60 anos.;E) Soropositivo para o HIV com contagem de CD4 de 350 células/mm3.;
SESPEPE2018R12Q5;;https://vimeo.com/434061942;" Temos uma paciente que vai receber tratamento imunossupressor com corticoide e a questão pergunta qual cuidado NÃO faz parte da rotina para esses pacientes, vamos lá: A – CORRETA, o uso de corticoide pode causar o fenômeno de autoinfecção pelo estrongiloides, com risco de ocorrer estrongiloidíase disseminada, por isso a indicação do tratamento, principalmente com ivermectina; B – CORRETA, apesar de ser um pouco polêmico, alguns autores indicam a pesquisa de TB ativa e latente e caso positiva, seus tratamentos; C – CORRETA, um dos grandes efeitos colaterais do corticoide é o dano ao osso, causando osteoporose, o dano não é só quantitativo, mas também qualitativo, por isso temos que avaliar a  “saúde óssea” através da densitometria; D – CORRETA, essa reposição está indicada justamente pelo risco de osteoporose nesses pacientes; E – INCORRETA, apesar do uso de corticoide estar relacionado à HAS, DM e dislipidemia, não existe indicação para uso de estatina.";A) Terapia empírica contra estrongiloidíase.;B) Radiografia de tórax e PPD.;C) Realização de densitometria óssea.;D) Reposição de cálcio e vitamina D.;E) Terapia com estatina.;
UNICAMPSPSP2019R12Q1;;https://vimeo.com/434062103; Temos um idoso com quadro de dor precordial há 3 horas, que após administração de AAS, clopidogrel e nitroglicerina, evoluiu com hipotensão, mas com ausculta pulmonar limpa e a questão pergunta em que local devemos colocar o eletrodo do ECG para achar o local do infarto que justifique o quadro do paciente. Ao olhar o ECG da questão, vemos que o paciente possui um SupraST de DII, DIII e AVF, então temos um acometimento de parede inferior, quando isso ocorre temos obrigação de avaliar se o paciente também não teve um infarto de VD, pois a artéria que comumente irriga a parede inferior do VE é a coronária direita, por isso, devemos solicitar as derivações V3R e V4R, que avaliam o VD. Isso é importante de ser feito porque pacientes com infarto do VD NÃO PODEM receber nitroglicerina, pois podem evoluir com hipotensão. Então como o paciente precisava realizar um ECG com V3R e V4R, vamos botar os eletrodos no quinto espaço intercostal da linha hemiclavicular direita, resposta letra B. Interessante frisar que esses pacientes podem entrar em choque cardiogênico sem congestão pulmonar, já que o VD desses pacientes não consegue bombear sangue para o pulmão.;A) Borda esternal direita, no segundo espaço intercostal.;B) Linha hemiclavicular direita, no quinto espaço intercostal.;C) Linha axilar posterior esquerda, no quinto espaço intercostal.;D) Linha paravertebral esquerda, no quinto espaço intercostal.;;
